,label,N,P,K,ph,temperature,humidity,rainfall
0,Almond Nut,70,20,10,6,20.82477109,84.1341879,230.2242223
1,Almond Nut,70,20,10,6.02,25.36768364,72.52054555,107.9124111
2,Almond Nut,70,20,10,6.04,19.71359733,18.09665739,73.64476535
3,Almond Nut,70,20,10,6.06,23.90910104,20.74619325,81.60211243
4,Almond Nut,70,20,10,6.08,36.30049702,56.03021253,101.6073988
5,Almond Nut,70,20,10,6.1,29.3499706,61.25353851,40.82840673
6,Almond Nut,70,20,10,6.12,29.65296893,88.48587386,56.01913159
7,Almond Nut,70,20,10,6.14,32.83963757,67.99803573,73.40452716
8,Almond Nut,70,20,10,6.16,25.62896213,63.14909763,45.49683991
9,Almond Nut,70,20,10,6.18,20.82210727,87.22815682,109.4429934
10,Almond Nut,70,20,10,5.98,25.19640218,83.55829874,115.8586081
11,Almond Nut,70,20,10,5.96,32.06097197,51.08494181,96.59816497
12,Almond Nut,70,20,10,5.94,29.36947679,81.53996362,66.13442813
13,Almond Nut,70,20,10,5.92,26.22005978,80.90127035,49.08553937
14,Almond Nut,70,20,10,5.9,29.54097171,92.91778307,21.9653077
15,Almond Nut,70,20,10,5.88,22.36629253,90.78572467,124.9831618
16,Almond Nut,70,20,10,5.86,22.56664172,93.37488907,109.8585753
17,Almond Nut,70,20,10,5.84,42.30495821,90.51431779,74.876786
18,Almond Nut,70,20,10,5.82,28.3575072,91.64509299,160.7306991
19,Aniseed,100,50,20,5,26.73072391,81.78596776,280.4044392
20,Aniseed,100,50,20,5.02,23.30355338,73.62548442,97.59081274
21,Aniseed,100,50,20,5.04,19.2582557,14.2804191,65.78042032
22,Aniseed,100,50,20,5.06,22.8352024,18.97267518,63.59276673
23,Aniseed,100,50,20,5.08,33.64769646,48.41490082,100.4673278
24,Aniseed,100,50,20,5.1,28.79929247,49.84213387,40.85534718
25,Aniseed,100,50,20,5.12,29.9145443,85.85384444,41.39081525
26,Aniseed,100,50,20,5.14,30.11873003,60.11680815,71.72980375
27,Aniseed,100,50,20,5.16,21.74600081,63.39503184,50.43306085
28,Aniseed,100,50,20,5.18,22.91843172,85.40695044,106.2817706
29,Aniseed,100,50,20,4.98,25.86824781,78.52399914,116.3019555
30,Aniseed,100,50,20,4.96,32.32362177,52.5896771,93.36718816
31,Aniseed,100,50,20,4.94,11.36300891,80.03100049,71.18289431
32,Aniseed,100,50,20,4.92,26.53259325,82.39053979,54.30660782
33,Aniseed,100,50,20,4.9,27.33897716,90.69759008,28.69113835
34,Aniseed,100,50,20,4.88,23.12652652,94.71203306,108.6211833
35,Aniseed,100,50,20,4.86,14.34320488,94.35734702,110.2223123
36,Aniseed,100,50,20,4.84,23.19451074,91.40301608,206.3999208
37,Aniseed,100,50,20,4.82,27.5136304,94.18955816,156.6732553
38,Apple,20,125,200,6.5,22.75088787,90.69489172,110.4317855
39,Apple,20,125,200,6.52,23.8494014,94.34814995,114.0512495
40,Apple,20,125,200,6.54,22.60800988,94.58900601,116.0396587
41,Apple,20,125,200,6.56,21.18667419,91.13435689,122.233323
42,Apple,20,125,200,6.58,23.41044706,91.69913296,116.0777931
43,Apple,20,125,200,6.6,22.86006627,93.12859895,117.7296726
44,Apple,20,125,200,6.62,22.48403042,93.40819246,105.5473627
45,Apple,20,125,200,6.64,22.02775403,92.96129462,121.1349176
46,Apple,20,125,200,6.66,21.91191314,91.68748063,117.0761277
47,Apple,20,125,200,6.68,23.71059131,93.27392415,112.6676589
48,Apple,20,125,200,6.48,21.37784654,92.72043743,106.1417017
49,Apple,20,125,200,6.46,22.84852833,94.32130209,123.5977843
50,Apple,20,125,200,6.44,23.1094265,92.79630809,108.183792
51,Apple,20,125,200,6.42,23.25230817,94.54128292,105.3558408
52,Apple,20,125,200,6.4,23.67287749,90.4935574,104.2298028
53,Apple,20,125,200,6.38,23.76881552,90.59810302,102.2648546
54,Apple,20,125,200,6.36,23.34386401,91.47684705,104.4267991
55,Apple,20,125,200,6.34,22.63946441,90.18451645,108.3405879
56,Apple,20,125,200,6.32,23.16563697,91.64377235,105.3123301
57,Apricot,40,50,25,6.5,23.64124821,80.28597873,263.1103304
58,Apricot,40,50,25,6.52,20.68899915,59.4375337,103.651438
59,Apricot,40,50,25,6.54,18.49311205,14.72115044,91.94595352
60,Apricot,40,50,25,6.56,19.25975367,20.51346956,94.9533526
61,Apricot,40,50,25,6.58,30.50420876,35.48885969,162.5927723
62,Apricot,40,50,25,6.6,29.34317422,60.50320928,34.03335472
63,Apricot,40,50,25,6.62,28.36319404,84.8593608,52.93031105
64,Apricot,40,50,25,6.64,34.37329112,69.69366426,70.27184748
65,Apricot,40,50,25,6.66,23.7937153,68.03209183,49.73922097
66,Apricot,40,50,25,6.68,21.02432943,93.0569505,104.7847006
67,Apricot,40,50,25,6.48,26.29039046,81.06003778,118.6730366
68,Apricot,40,50,25,6.46,28.33333307,51.39586505,91.67241761
69,Apricot,40,50,25,6.44,35.89307536,82.66850729,66.53946559
70,Apricot,40,50,25,6.42,24.71885473,88.94568335,48.45978627
71,Apricot,40,50,25,6.4,29.62800691,90.10051615,23.69586761
72,Apricot,40,50,25,6.38,21.70416965,93.44006288,115.1781396
73,Apricot,40,50,25,6.36,15.63211033,94.25966183,101.4705704
74,Apricot,40,50,25,6.34,32.66160599,90.78931681,78.85085502
75,Apricot,40,50,25,6.32,26.29644905,99.65809151,215.9195049
76,Arecanut,100,40,140,6,26.92995077,81.91411159,290.6793783
77,Arecanut,100,40,140,6.02,25.34217103,63.31801994,74.52082026
78,Arecanut,100,40,140,6.04,19.48649305,16.06240074,81.5284269
79,Arecanut,100,40,140,6.06,23.89756791,22.74378977,112.6616435
80,Arecanut,100,40,140,6.08,29.49096726,67.10604388,153.2504506
81,Arecanut,100,40,140,6.1,28.00937423,52.60950014,36.01203025
82,Arecanut,100,40,140,6.12,28.44524991,82.67639542,58.18713162
83,Arecanut,100,40,140,6.14,27.45853567,62.90020977,69.46020927
84,Arecanut,100,40,140,6.16,20.39078312,60.47528931,53.31508572
85,Arecanut,100,40,140,6.18,20.86474944,91.61793636,106.8685636
86,Arecanut,100,40,140,5.98,28.31193338,75.77363772,119.695765
87,Arecanut,100,40,140,5.96,28.69818144,47.71875722,99.642454
88,Arecanut,100,40,140,5.94,10.72302459,80.02130636,65.2982112
89,Arecanut,100,40,140,5.92,24.92093261,80.61750795,50.55710813
90,Arecanut,100,40,140,5.9,28.80311922,91.78336933,25.16359891
91,Arecanut,100,40,140,5.88,23.99686172,91.61001707,117.6102915
